Date,AAPL,MSFT,GOOGL
2020-05-12,76.3326416015625,176.7118682861328,68.75900268554688
2020-05-13,75.41099548339844,174.03958129882812,67.41649627685547
2020-05-14,75.87425231933594,174.79476928710938,67.84300231933594
2020-05-15,75.42569732666016,177.34124755859375,68.65299987792969
2020-05-18,77.20281982421875,179.03562927246094,69.25900268554688
2020-05-19,76.7566909790039,177.79627990722656,68.72000122070312
2020-05-20,78.24947357177734,180.26243591308597,70.45800018310547
2020-05-21,77.66609191894531,178.09725952148438,70.3375015258789
2020-05-22,78.16613006591797,178.17495727539062,70.66200256347656
2020-05-26,77.63668823242188,176.29136657714844,71.06849670410156
2020-05-27,77.97492980957031,176.52438354492188,71.01399993896484
2020-05-28,78.00926971435547,176.1262969970703,70.91200256347656
2020-05-29,77.93328094482422,177.92251586914062,71.6760025024414
2020-06-01,78.89168548583984,177.5147247314453,71.74349975585938
2020-06-02,79.25692749023438,179.53427124023438,72.1155014038086
2020-06-03,79.6932144165039,179.97119140625,71.9625015258789
2020-06-04,79.00690460205078,177.6021270751953,70.71499633789062
2020-06-05,81.25708770751953,181.75770568847656,72.0009994506836
2020-06-08,81.73751831054688,182.8839569091797,72.4020004272461
2020-06-09,84.3186264038086,184.28208923339844,72.60399627685547
2020-06-10,86.48792266845703,191.117431640625,73.23500061035156
2020-06-11,82.33560943603516,180.854736328125,70.09500122070312
2020-06-12,83.04644775390625,182.28201293945312,70.64600372314453
2020-06-15,84.07349395751953,183.4470977783203,71.03700256347656
2020-06-16,86.3016357421875,187.94248962402344,72.32350158691406
2020-06-17,86.18153381347656,188.59300231933597,72.62699890136719
2020-06-18,86.21586608886719,190.6125640869141,71.70600128173828
2020-06-19,85.72315216064453,189.47653198242188,71.23200225830078
2020-06-22,87.96601867675781,194.73899841308597,72.53299713134766
2020-06-23,89.84363555908203,196.0400238037109,73.1989974975586
2020-06-24,88.25769805908203,192.08834838867188,71.63500213623047
2020-06-25,89.42935943603516,194.51568603515625,72.05500030517578
2020-06-26,86.68158721923828,190.62225341796875,68.12699890136719
2020-06-29,88.6792984008789,192.6708984375,69.8584976196289
2020-06-30,89.41957092285156,197.59353637695312,70.90249633789062
2020-07-01,89.25042724609375,198.74891662597656,72.0999984741211
2020-07-02,89.25042724609375,200.2635498046875,73.49649810791016
2020-07-06,91.63790130615234,204.5744781494141,74.98249816894531
2020-07-07,91.3535614013672,202.1957550048828,74.49600219726562
2020-07-08,93.48119354248048,206.642578125,75.18000030517578
2020-07-09,93.88319396972656,208.0892639160156,75.93299865722656
2020-07-10,94.04742431640624,207.45816040039065,76.95050048828125
2020-07-13,93.61355590820312,201.05001831054688,75.61150360107422
2020-07-14,95.1627197265625,202.29281616210935,76.04299926757812
2020-07-15,95.81717681884766,201.99180603027344,75.84400177001953
2020-07-16,94.6381607055664,197.99159240722656,75.74600219726562
2020-07-17,94.44696807861328,196.9818572998047,75.84249877929688
2020-07-20,96.43733215332033,205.4483337402344,78.19200134277344
2020-07-21,95.1063232421875,202.68118286132807,77.7959976196289
2020-07-22,95.37351989746094,205.59397888183597,78.24250030517578
2020-07-23,91.03246307373048,196.65170288085935,75.8375015258789
2020-07-24,90.80693817138672,195.44776916503903,75.4104995727539
2020-07-27,92.95909881591795,197.92364501953125,76.47149658203125
2020-07-28,91.43199920654295,196.14682006835935,75.18250274658203
2020-07-29,93.18460845947266,198.1275177001953,76.17549896240234
2020-07-30,94.31214141845705,197.97216796875,76.91850280761719
2020-07-31,104.18555450439452,199.0498962402344,74.39749908447266
2020-08-03,106.810791015625,210.2447204589844,74.13800048828125
2020-08-04,107.52408599853516,207.08917236328125,73.66500091552734
2020-08-05,107.91382598876952,206.7493438720703,73.95449829101562
2020-08-06,111.67887115478516,210.0602264404297,75.24749755859375
2020-08-07,109.13975524902344,206.302734375,74.91850280761719
2020-08-10,110.72608184814452,202.1957550048828,74.84100341796875
2020-08-11,107.43309783935548,197.46730041503903,74.0270004272461
2020-08-12,111.00357055664062,203.1083984375,75.36199951171875
2020-08-13,112.96805572509766,202.6326141357422,75.8324966430664
2020-08-14,112.86737060546876,202.82681274414065,75.23149871826172
2020-08-17,112.57269287109376,204.16668701171875,75.81199645996094
2020-08-18,113.51074981689452,205.34153747558597,77.78900146484375
2020-08-19,113.65316009521484,204.0957489013672,77.23049926757812
2020-08-20,116.17508697509766,208.8453063964844,78.8125
2020-08-21,122.16187286376952,207.32701110839844,78.77850341796875
2020-08-24,123.62296295166016,207.9790954589844,79.25749969482422
2020-08-25,122.60877990722656,210.68479919433597,80.2925033569336
2020-08-26,124.27615356445312,215.2397308349609,82.20649719238281
2020-08-27,122.79051208496094,220.5246124267578,81.4260025024414
2020-08-28,122.5915985107422,222.7923583984375,81.97149658203125
